전기통신 서비스,미디어와 엔터테인먼트,커뮤니케이션
스카이문스테크놀로지,에코마케팅,인스코비
미투온,래몽래인,핑거스토리
키다리스튜디오,애니플러스,드림어스컴퍼니
와이어블,네오위즈홀딩스,FSN
SBS콘텐츠허브,알비더블유,디지틀조선
삼화네트웍스,모비데이즈,티사이언티픽
세종텔레콤,코퍼스코리아,메쎄이상
이엠넷,위지윅스튜디오,플리토
SK텔레콤,카카오,지니뮤직
예림당,미스터블루,
,더블유게임즈,
,에스엠,
,카카오게임즈,
,HS애드,
,씨씨에스,
,스튜디오드래곤,
,티와이홀딩스,
,KNN,
,삼화네트웍스,
,넵튠,
,드래곤플라이,
,위메이드맥스,
,탑코미디어,
,엔씨소프트,
,모비릭스,
,초록뱀미디어,
,에이스토리,
,덱스터,
,한국경제TV,
,LG유플러스,
,줌인터넷,
,JYP Ent.,
,와이즈버즈,
,YG PLUS,
,디앤씨미디어,
,웅진,
,에프엔씨엔터,
,오리콤,
,액토즈소프트,
,한빛소프트,
,데브시스터즈,
,콘텐트리중앙,
,SM Life Design,
,쇼박스,
,SBS콘텐츠허브,
,와이지엔터테인먼트,
,넷마블,
,캐리소프트,
,엠게임,
,엔피,
,이노션,
,티비씨,
,밸로프,
,인크로스,
,아센디오,
,NEW,
,바른손이앤에이,
,스카이문스테크놀로지,
,예림당,
,갤럭시아에스엠,
,팬엔터테인먼트,
,컴투스홀딩스,
,위메이드,
,플레이디,
,iMBC,
,웹젠,
,NAVER,
,조이시티,
,넥슨게임즈,
,크래프톤,
,제일기획,
,NHN벅스,
,썸에이지,
,펄어비스,
,티쓰리,
,위메이드플레이,
,미투온,
,엔비티,
,스튜디오산타클로스,
,SM C&C,
,KX,
,THE E&M,
,네오위즈,
,키이스트,
,이엠넷,
,디어유,
,액션스퀘어,
,하이브,
,나스미디어,
,플레이위드,
,CJ ENM,
,룽투코리아,
,CJ CGV,
,아프리카TV,
,스튜디오미르,
,LG헬로비전,
,아이오케이,
,초록뱀컴퍼니,
,자이언트스텝,
,SBS,
,포바이포,
,아시아경제,
,컴투스,
,SAMG엔터,
,대원미디어,
,초록뱀이앤엠,
,YTN,
