식품 도매,식품 소매,청량 음료,포장 식품,증류업체와 양조업체,가정용품,약품 소매,담배,맥주 양조업자,개인용품,고기,농산물
MH에탄올,MH에탄올,MH에탄올,MH에탄올,MH에탄올,모나리자,오리온,보락,하이트진로,TS트릴리온,마니커,신라교역
모나리자,선진,푸드웰,선진,무학,TS트릴리온,푸드웰,보라티알,교촌에프앤비,메지온,사조씨푸드,
선진,오뚜기,농심,오뚜기,하이트진로,전진바이오팜,한국맥널티,동서,하이트진로홀딩스,비비씨,교촌에프앤비,
오뚜기,오리온,동원F&B,오리온,풍국주정,삼정펄프,CJ제일제당,교촌에프앤비,제주맥주,,사조산업,
오리온,카나리아바이오,무학,카나리아바이오,하이트진로홀딩스,태양,보락,CJ프레시웨이,,,삼양식품,
카나리아바이오,푸드웰,하이트진로,푸드웰,창해에탄올,,하림,DSEN,,,신라교역,
푸드웰,한국맥널티,매일홀딩스,한국맥널티,보해양조,,스피어파워,큐로홀딩스,,,DSEN,
한국맥널티,CJ씨푸드,흥국에프엔비,CJ씨푸드,,,대한제당,신라에스지,,,동우팜투테이블,
CJ씨푸드,CJ제일제당,매일유업,CJ제일제당,,,케이엠제약,현대코퍼레이션홀딩스,,,체리부로,
CJ제일제당,농심,삼양식품,농심,,,큐로홀딩스,,,,마니커에프앤지,
농심,동원F&B,우양,동원F&B,,,신라에스지,,,,,
동원F&B,보락,풍국주정,보락,,,엠에스씨,,,,,
보락,사조대림,남양유업,빙그레,,,이지바이오,,,,,
빙그레,신송홀딩스,SPC삼립,사조대림,,,한국가구,,,,,
사조대림,조흥,진로발효,신송홀딩스,,,,,,,,
신송홀딩스,보라티알,농심홀딩스,조흥,,,,,,,,
조흥,커머스마이너,대한제분,보라티알,,,,,,,,
보라티알,케이씨피드,풀무원,커머스마이너,,,,,,,,
커머스마이너,하림,창해에탄올,케이씨피드,,,,,,,,
케이씨피드,흥국에프엔비,보해양조,하림,,,,,,,,
하림,동서,제주맥주,흥국에프엔비,,,,,,,,
흥국에프엔비,동원수산,,동서,,,,,,,,
동서,롯데웰푸드,,동원산업,,,,,,,,
동원수산,사조씨푸드,,동원수산,,,,,,,,
롯데웰푸드,샘표식품,,롯데웰푸드,,,,,,,,
사조씨푸드,팜스코,,사조씨푸드,,,,,,,,
샘표식품,해태제과식품,,샘표식품,,,,,,,,
팜스코,에스앤디,,우성,,,,,,,,
해태제과식품,인산가,,팜스코,,,,,,,,
에스앤디,교촌에프앤비,,해태제과식품,,,,,,,,
인산가,사조산업,,매일유업,,,,,,,,
교촌에프앤비,삼양식품,,에스앤디,,,,,,,,
사조산업,대주산업,,인산가,,,,,,,,
삼양식품,스피어파워,,교촌에프앤비,,,,,,,,
대주산업,우양,,사조산업,,,,,,,,
우양,한일사료,,삼양식품,,,,,,,,
한일사료,대상,,대주산업,,,,,,,,
남양유업,대한제당,,우양,,,,,,,,
대상,샘표,,한일사료,,,,,,,,
대한제당,크라운제과,,대상,,,,,,,,
샘표,크라운해태홀딩스,,대한제당,,,,,,,,
크라운제과,케이엠제약,,샘표,,,,,,,,
크라운해태홀딩스,큐로홀딩스,,크라운제과,,,,,,,,
CJ프레시웨이,팜스토리,,크라운해태홀딩스,,,,,,,,
DSEN,SPC삼립,,팜스토리,,,,,,,,
팜스토리,사조오양,,SPC삼립,,,,,,,,
SPC삼립,삼양사,,사조오양,,,,,,,,
사조오양,신라에스지,,삼양사,,,,,,,,
삼양사,엠에스씨,,신라에스지,,,,,,,,
신라에스지,이지바이오,,엠에스씨,,,,,,,,
엠에스씨,진로발효,,이지바이오,,,,,,,,
이지바이오,농심홀딩스,,진로발효,,,,,,,,
진로발효,풀무원,,고려산업,,,,,,,,
농심홀딩스,하림지주,,농심홀딩스,,,,,,,,
풀무원,한국가구,,사조동아원,,,,,,,,
하림지주,한성기업,,풀무원,,,,,,,,
한국가구,마니커에프앤지,,하림지주,,,,,,,,
보해양조,미래생명자원,,한성기업,,,,,,,,
한성기업,에이치피오,,현대코퍼레이션홀딩스,,,,,,,,
현대코퍼레이션홀딩스,오에스피,,마니커에프앤지,,,,,,,,
마니커에프앤지,이지홀딩스,,미래생명자원,,,,,,,,
미래생명자원,,,에이치피오,,,,,,,,
에이치피오,,,오에스피,,,,,,,,
오에스피,,,이지홀딩스,,,,,,,,
이지홀딩스,,,정다운,,,,,,,,
정다운,,,,,,,,,,,
