화학,포장재,비철금속,철강,종이와 목재
삼보판지,삼보판지,,DSR제강,삼보판지
동방아그로,동방아그로,,휴스틸,동방아그로
켐트로닉스,조선선재,,만호제강,켐트로닉스
코오롱플라스틱,페이퍼코리아,,황금에스티,에코앤드림
에코앤드림,DSR,,아주스틸,페이퍼코리아
페이퍼코리아,피제이메탈,,영흥,조선선재
조선선재,금강철강,,동양에스텍,삼양홀딩스
해성산업,조일알미늄,,동일산업,미원화학
미원화학,고려아연,,DSR,케이피엠테크
케이피엠테크,레이크머티리얼즈,,대양금속,원풍
피제이메탈,대호에이엘,,세아베스틸지주,애경케미칼
원풍,테이팩스,,현대제철,롯데정밀화학
KG케미칼,SUN&L,,KG케미칼,DL
금강철강,세아메카닉스,,금강철강,레이크머티리얼즈
조일알미늄,태림포장,,하이스틸,동국산업
애경케미칼,원림,,동국산업,세토피아
롯데정밀화학,케이피티유,,제이스코홀딩스,리더스코스메틱
DL,한창제지,,대한제강,한농화성
레이크머티리얼즈,아세아제지,,현대비앤지스틸,테이팩스
동국산업,풍산,,세토피아,SUN&L
고려아연,금비,,KISCO홀딩스,세아메카닉스
현대비앤지스틸,삼아알미늄,,화인베스틸,석경에이티
세토피아,황금에스티,,문배철강,에스폴리텍
대호에이엘,서원,,고려제강,유니드
리더스코스메틱,대영포장,,원일특강,진양산업
한농화성,대림제지,,한국철강,신스틸
테이팩스,한국내화,,TCC스틸,태림포장
세아메카닉스,태경산업,,KG ETS,원림
석경에이티,한솔제지,,동양철관,동국홀딩스
에스폴리텍,엠투엔,,포스코엠텍,한솔케미칼
진양산업,대창,,동일제강,케이피티유
유니드,동남합성,,세아특수강,한창제지
원림,신대양제지,,엠투엔,아세아제지
티케이케미칼,삼륭물산,,SHD,한국특강
세아홀딩스,무림P&P,,포스코스틸리온,인바이오
동국홀딩스,쎄노텍,,경남스틸,그린케미칼
한솔케미칼,무림SP,,NI스틸,스타플렉스
케이피티유,케이디켐,,쎄니트,원일특강
한창제지,알루코,,광진실업,풍산
아세아제지,승일,,신스틸,백광산업
누보,티플랙스,,한국선재,금비
대창스틸,락앤락,,부국철강,효성첨단소재
인바이오,삼양패키징,,세아홀딩스,삼아알미늄
그린케미칼,무림페이퍼,,동국홀딩스,황금에스티
원일특강,연우,,동국알앤에스,송원산업
백광산업,삼화왕관,,유에스티,동양에스텍
금비,효성화학,,대동스틸,서원
효성첨단소재,TCC스틸,,동국S&C,와이엠티
삼아알미늄,이구산업,,디씨엠,대양금속
황금에스티,깨끗한나라,,한국특강,현대제철
송원산업,태경비케이,,세아제강,대영포장
동일산업,동국알앤에스,,대호특수강,하이스틸
서원,삼보산업,,동일철강,대림제지
와이엠티,대동스틸,,대창스틸,대정화금
이화산업,동국S&C,,POSCO홀딩스,한국내화
하이스틸,나노씨엠에스,,KG스틸,오공
대정화금,삼영,,,한솔제지
태경산업,금양,,,경농
CS홀딩스,영보화학,,,엠투엔
오공,세림B&G,,,포스코스틸리온
한솔제지,영풍제지,,,대창
경농,율촌화학,,,켐트로스
엠투엔,영흥,,,동남합성
대창,육일씨엔에쓰,,,쎄니트
에코프로,동원시스템즈,,,태광산업
켐트로스,아이티센,,,성창기업지주
동남합성,한창산업,,,신대양제지
쎄니트,고려제강,,,삼륭물산
태광산업,대륙제관,,,경인양행
경인양행,국일신동,,,무림P&P
무림P&P,포스코엠텍,,,쎄노텍
SH에너지화학,세하,,,무림SP
엔피케이,펌텍코리아,,,엔피케이
후성,풍산홀딩스,,,엔터파트너즈
케이디켐,남선알미늄,,,파버나인
미원에스씨,제일연마,,,케이디켐
코스모신소재,한국팩키지,,,미원에스씨
DSR제강,대호특수강,,,DSR제강
알루코,KPX케미칼,,,코스모신소재
승일,KG스틸,,,알루코
SKC,,,,승일
만호제강,,,,SKC
WISCOM,,,,WISCOM
티플랙스,,,,티플랙스
코오롱인더,,,,락앤락
AK홀딩스,,,,삼양패키징
세아베스틸지주,,,,무림페이퍼
무림페이퍼,,,,연우
한국알콜,,,,와이오엠
롯데케미칼,,,,삼화왕관
효성화학,,,,한국알콜
문배철강,,,,제이스코홀딩스
한일화학,,,,대한제강
미원상사,,,,롯데케미칼
원익머트리얼즈,,,,효성화학
TCC스틸,,,,미원상사
세아특수강,,,,TCC스틸
이구산업,,,,원익머트리얼즈
깨끗한나라,,,,이구산업
아셈스,,,,깨끗한나라
태경비케이,,,,NI스틸
일진다이아,,,,아셈스
광진실업,,,,태경비케이
동국알앤에스,,,,일진다이아
진양홀딩스,,,,광진실업
효성오앤비,,,,한국선재
원익큐브,,,,동국알앤에스
세아제강,,,,삼보산업
한솔홀딩스,,,,진양홀딩스
OCI홀딩스,,,,대동스틸
POSCO홀딩스,,,,동국S&C
국도화학,,,,효성오앤비
삼영,,,,원익큐브
태경케미컬,,,,세아제강
금양,,,,나노씨엠에스
대한화섬,,,,SK케미칼
영보화학,,,,OCI홀딩스
대한유화,,,,국도화학
휴스틸,,,,삼영
율촌화학,,,,태경케미컬
육일씨엔에쓰,,,,금양
레몬,,,,영보화학
성보화학,,,,대한유화
씨큐브,,,,세림B&G
나노캠텍,,,,휴스틸
KISCO홀딩스,,,,영풍제지
고려제강,,,,율촌화학
대륙제관,,,,아주스틸
나노브릭,,,,영흥
코스모화학,,,,PI첨단소재
KG ETS,,,,진양화학
동양철관,,,,동원시스템즈
남해화학,,,,레몬
KCI,,,,성보화학
나노,,,,파미셀
한국주강,,,,KISCO홀딩스
동성화인텍,,,,나노캠텍
세하,,,,고려제강
조비,,,,대륙제관
풍산홀딩스,,,,나노브릭
디씨엠,,,,국일신동
KBG,,,,코스모화학
LG화학,,,,KG ETS
남선알미늄,,,,포스코엠텍
한국팩키지,,,,남해화학
대호특수강,,,,KCI
동일철강,,,,나노
동성케미컬,,,,한국주강
KPX케미칼,,,,세하
KPX홀딩스,,,,HRS
,,,,펌텍코리아
,,,,부국철강
,,,,풍산홀딩스
,,,,디씨엠
,,,,KBG
,,,,LG화학
,,,,남선알미늄
,,,,제일연마
,,,,신풍
,,,,한국팩키지
,,,,동일철강
,,,,동성케미컬
,,,,KPX케미칼
,,,,KG스틸
,,,,웹스
,,,,KPX홀딩스
