약품 소매,식품 도매,식품 소매,하이퍼마켓과 대형 쇼핑센터,음료,식품,가정용품,개인용품
엠에스씨,한성기업,한성기업,,제주맥주,한성기업,삼정펄프,CJ프레시웨이
한국맥널티,오뚜기,큐로홀딩스,,대한제분,오뚜기,TS트릴리온,보라티알
큐로홀딩스,미래생명자원,오뚜기,,교촌에프앤비,미래생명자원,전진바이오팜,TS트릴리온
스피어파워,정다운,미래생명자원,,삼양식품,정다운,모나리자,큐로홀딩스
대한제당,마니커에프앤지,마니커에프앤지,,푸드웰,마니커에프앤지,태양,메지온
하림,교촌에프앤비,교촌에프앤비,,MH에탄올,신라교역,,비비씨
케이엠제약,CJ제일제당,CJ제일제당,,풀무원,교촌에프앤비,,보락
이지바이오,오리온,오리온,,동원F&B,CJ제일제당,,교촌에프앤비
보락,사조오양,사조오양,,무학,오리온,,현대코퍼레이션홀딩스
CJ제일제당,한국가구,한국가구,,남양유업,사조오양,,DSEN
오리온,삼양식품,삼양식품,,풍국주정,삼양식품,,동서
한국가구,푸드웰,푸드웰,,농심,푸드웰,,신라에스지
푸드웰,대상,대상,,하이트진로홀딩스,대상,,
신라에스지,카나리아바이오,카나리아바이오,,진로발효,카나리아바이오,,
,MH에탄올,MH에탄올,,SPC삼립,MH에탄올,,
,CJ프레시웨이,보라티알,,농심홀딩스,보라티알,,
,보라티알,롯데웰푸드,,창해에탄올,롯데웰푸드,,
,롯데웰푸드,조흥,,매일홀딩스,조흥,,
,조흥,팜스코,,하이트진로,팜스코,,
,팜스코,에스앤디,,보해양조,에스앤디,,
,에스앤디,풀무원,,우양,고려산업,,
,풀무원,인산가,,매일유업,인산가,,
,인산가,하림지주,,흥국에프엔비,풀무원,,
,하림지주,이지바이오,,,이지바이오,,
,이지바이오,동원F&B,,,동원F&B,,
,동원F&B,하림,,,하림,,
,하림,오에스피,,,하림지주,,
,남양유업,동원수산,,,오에스피,,
,오에스피,이지홀딩스,,,체리부로,,
,동원수산,케이씨피드,,,동원수산,,
,이지홀딩스,사조산업,,,동원산업,,
,케이씨피드,동서,,,케이씨피드,,
,사조산업,농심,,,우성,,
,동서,신라에스지,,,사조산업,,
,농심,선진,,,이지홀딩스,,
,신라에스지,해태제과식품,,,동우팜투테이블,,
,선진,엠에스씨,,,동서,,
,해태제과식품,삼양사,,,농심,,
,엠에스씨,팜스토리,,,신라에스지,,
,삼양사,진로발효,,,선진,,
,팜스토리,SPC삼립,,,해태제과식품,,
,진로발효,대한제당,,,마니커,,
,빙그레,농심홀딩스,,,엠에스씨,,
,SPC삼립,샘표,,,삼양사,,
,대한제당,크라운해태홀딩스,,,팜스토리,,
,농심홀딩스,케이엠제약,,,진로발효,,
,모나리자,샘표식품,,,빙그레,,
,샘표,우양,,,SPC삼립,,
,크라운해태홀딩스,신송홀딩스,,,대한제당,,
,현대코퍼레이션홀딩스,한국맥널티,,,농심홀딩스,,
,DSEN,크라운제과,,,샘표,,
,샘표식품,에이치피오,,,크라운해태홀딩스,,
,보해양조,대주산업,,,현대코퍼레이션홀딩스,,
,우양,스피어파워,,,DSEN,,
,신송홀딩스,CJ씨푸드,,,샘표식품,,
,한국맥널티,한일사료,,,우양,,
,크라운제과,보락,,,신송홀딩스,,
,에이치피오,커머스마이너,,,한국맥널티,,
,대주산업,흥국에프엔비,,,매일유업,,
,CJ씨푸드,사조씨푸드,,,크라운제과,,
,한일사료,사조대림,,,에이치피오,,
,보락,,,,대주산업,,
,커머스마이너,,,,CJ씨푸드,,
,흥국에프엔비,,,,사조동아원,,
,사조씨푸드,,,,한일사료,,
,사조대림,,,,보락,,
,,,,,커머스마이너,,
,,,,,흥국에프엔비,,
,,,,,사조씨푸드,,
,,,,,사조대림,,
