식품과 기본 식료품 소매,음식료품,가정용품과 개인용품
사조씨푸드,제주맥주,CJ프레시웨이
한성기업,오뚜기,전진바이오팜
큐로홀딩스,정다운,삼정펄프
오뚜기,마니커에프앤지,TS트릴리온
미래생명자원,사조오양,보라티알
정다운,삼양식품,큐로홀딩스
마니커에프앤지,푸드웰,메지온
교촌에프앤비,고려산업,모나리자
CJ제일제당,조흥,태양
오리온,동원F&B,비비씨
한국가구,무학,보락
사조오양,하림,교촌에프앤비
삼양식품,풍국주정,현대코퍼레이션홀딩스
푸드웰,동원수산,DSEN
대상,동원산업,동서
카나리아바이오,동서,신라에스지
MH에탄올,마니커,
CJ프레시웨이,엠에스씨,
보라티알,삼양사,
롯데웰푸드,진로발효,
조흥,대한제당,
팜스코,크라운해태홀딩스,
에스앤디,하이트진로,
풀무원,신송홀딩스,
인산가,매일유업,
하림지주,크라운제과,
이지바이오,에이치피오,
하림,사조씨푸드,
동원F&B,한성기업,
남양유업,오리온,
오에스피,카나리아바이오,
동원수산,MH에탄올,
이지홀딩스,하림지주,
케이씨피드,오에스피,
사조산업,인산가,
동서,우성,
신라에스지,사조산업,
농심,신라에스지,
선진,하이트진로홀딩스,
해태제과식품,팜스토리,
엠에스씨,SPC삼립,
삼양사,농심홀딩스,
팜스토리,샘표,
진로발효,DSEN,
빙그레,우양,
SPC삼립,한국맥널티,
대한제당,대주산업,
농심홀딩스,사조동아원,
모나리자,대한제분,
샘표,미래생명자원,
크라운해태홀딩스,팜스코,
현대코퍼레이션홀딩스,풀무원,
케이엠제약,이지바이오,
DSEN,이지홀딩스,
샘표식품,동우팜투테이블,
보해양조,농심,
우양,선진,
신송홀딩스,빙그레,
한국맥널티,창해에탄올,
크라운제과,샘표식품,
에이치피오,CJ씨푸드,
대주산업,신라교역,
CJ씨푸드,교촌에프앤비,
한일사료,CJ제일제당,
보락,대상,
커머스마이너,보라티알,
흥국에프엔비,롯데웰푸드,
스피어파워,에스앤디,
사조대림,체리부로,
,남양유업,
,케이씨피드,
,해태제과식품,
,매일홀딩스,
,현대코퍼레이션홀딩스,
,보해양조,
,한일사료,
,보락,
,커머스마이너,
,흥국에프엔비,
,사조대림,
